Plot Title: ff2_82				
#	"Date Time, GMT+00:00"	"Wind Speed, mph"	"Gust Speed, mph"	"Wind Direction, ?"
225	1/29/2013 22:50	12.95	12.95	172.7
226	1/29/2013 22:50	11.27	11.27	153
227	1/29/2013 22:50	9.01	9.01	147.4
228	1/29/2013 22:50	6.76	6.76	155.8
229	1/29/2013 22:50	6.2	6.2	144.6
230	1/29/2013 22:50	9.01	9.01	165.7
231	1/29/2013 22:50	11.27	11.27	141.8
232	1/29/2013 22:50	10.69	10.69	179.7
233	1/29/2013 22:50	9.57	9.57	182.5
234	1/29/2013 22:50	10.13	10.13	179.7
235	1/29/2013 22:50	9.01	9.01	171.3
236	1/29/2013 22:50	9.57	9.57	165.7
237	1/29/2013 22:50	9.01	9.01	144.6
238	1/29/2013 22:50	7.31	7.31	165.7
239	1/29/2013 22:50	8.46	8.46	181.1
240	1/29/2013 22:50	8.46	8.46	155.8
241	1/29/2013 22:51	9.01	9.01	165.7
242	1/29/2013 22:51	7.9	7.9	188.1
243	1/29/2013 22:51	7.9	7.9	186.7
244	1/29/2013 22:51	7.31	7.31	158.6
245	1/29/2013 22:51	8.46	8.46	186.7
246	1/29/2013 22:51	9.01	9.01	179.7
247	1/29/2013 22:51	10.13	10.13	179.7
248	1/29/2013 22:51	12.39	12.39	174.1
249	1/29/2013 22:51	11.27	11.27	172.7
250	1/29/2013 22:51	9.01	9.01	164.3
251	1/29/2013 22:51	7.31	7.31	151.6
252	1/29/2013 22:51	6.76	6.76	182.5
253	1/29/2013 22:51	7.9	7.9	167.1
254	1/29/2013 22:51	11.83	11.83	176.9
255	1/29/2013 22:51	11.83	11.83	172.7
256	1/29/2013 22:51	9.01	9.01	178.3
257	1/29/2013 22:51	10.13	10.13	198
258	1/29/2013 22:51	11.27	11.27	178.3
259	1/29/2013 22:51	11.83	11.83	174.1
260	1/29/2013 22:51	10.69	10.69	178.3
261	1/29/2013 22:52	9.01	9.01	196.5
262	1/29/2013 22:52	7.9	7.9	176.9
263	1/29/2013 22:52	7.9	7.9	171.3
264	1/29/2013 22:52	7.31	7.31	185.3
265	1/29/2013 22:52	9.57	9.57	186.7
266	1/29/2013 22:52	7.31	7.31	165.7
267	1/29/2013 22:52	9.57	9.57	196.5
268	1/29/2013 22:52	10.69	10.69	174.1
269	1/29/2013 22:52	9.01	9.01	172.7
270	1/29/2013 22:52	6.76	6.76	164.3
271	1/29/2013 22:52	4.5	4.5	164.3
272	1/29/2013 22:52	4.5	4.5	165.7
273	1/29/2013 22:52	4.5	4.5	172.7
274	1/29/2013 22:52	4.5	4.5	171.3
275	1/29/2013 22:52	3.94	3.94	165.7
276	1/29/2013 22:52	3.38	3.38	157.2
277	1/29/2013 22:52	3.94	3.94	140.4
278	1/29/2013 22:52	5.64	5.64	169.9
279	1/29/2013 22:52	4.5	4.5	167.1
280	1/29/2013 22:52	3.94	3.94	157.2
281	1/29/2013 22:53	3.38	3.38	164.3
282	1/29/2013 22:53	2.26	2.26	140.4
283	1/29/2013 22:53	1.12	1.12	140.4
284	1/29/2013 22:53	0.56	0.56	133.4
285	1/29/2013 22:53	1.7	1.7	119.3
286	1/29/2013 22:53	4.5	4.5	178.3
287	1/29/2013 22:53	8.46	8.46	165.7
288	1/29/2013 22:53	10.69	10.69	167.1
289	1/29/2013 22:53	9.01	9.01	179.7
290	1/29/2013 22:53	9.01	9.01	157.2
291	1/29/2013 22:53	8.46	8.46	172.7
292	1/29/2013 22:53	9.01	9.01	172.7
293	1/29/2013 22:53	7.31	7.31	167.1
294	1/29/2013 22:53	9.01	9.01	172.7
295	1/29/2013 22:53	9.57	9.57	157.2
296	1/29/2013 22:53	11.83	11.83	172.7
297	1/29/2013 22:53	9.01	9.01	179.7
298	1/29/2013 22:53	9.01	9.01	172.7
299	1/29/2013 22:53	9.01	9.01	181.1
300	1/29/2013 22:53	9.57	9.57	157.2
301	1/29/2013 22:54	9.57	9.57	169.9
302	1/29/2013 22:54	9.57	9.57	162.9
303	1/29/2013 22:54	12.95	12.95	165.7
304	1/29/2013 22:54	10.69	10.69	176.9
305	1/29/2013 22:54	11.27	11.27	165.7
306	1/29/2013 22:54	7.9	7.9	172.7
307	1/29/2013 22:54	7.9	7.9	172.7
308	1/29/2013 22:54	9.57	9.57	172.7
309	1/29/2013 22:54	10.13	10.13	209.2
310	1/29/2013 22:54	9.57	9.57	176.9
311	1/29/2013 22:54	9.01	9.01	167.1
312	1/29/2013 22:54	9.57	9.57	167.1
313	1/29/2013 22:54	14.65	14.65	162.9
314	1/29/2013 22:54	14.09	14.09	171.3
315	1/29/2013 22:54	13.51	13.51	171.3
316	1/29/2013 22:54	11.27	11.27	172.7
317	1/29/2013 22:54	12.39	12.39	164.3
318	1/29/2013 22:54	11.27	11.27	182.5
319	1/29/2013 22:54	10.69	10.69	185.3
320	1/29/2013 22:54	11.27	11.27	186.7
321	1/29/2013 22:55	10.69	10.69	172.7
322	1/29/2013 22:55	10.69	10.69	193.7
323	1/29/2013 22:55	10.13	10.13	179.7
324	1/29/2013 22:55	13.51	13.51	157.2
325	1/29/2013 22:55	12.95	12.95	155.8
326	1/29/2013 22:55	14.65	14.65	165.7
327	1/29/2013 22:55	11.27	11.27	203.6
328	1/29/2013 22:55	8.46	8.46	162.9
329	1/29/2013 22:55	6.2	6.2	172.7
330	1/29/2013 22:55	7.31	7.31	186.7
331	1/29/2013 22:55	10.69	10.69	181.1
332	1/29/2013 22:55	10.13	10.13	185.3
333	1/29/2013 22:55	10.13	10.13	182.5
334	1/29/2013 22:55	11.27	11.27	174.1
335	1/29/2013 22:55	12.39	12.39	179.7
336	1/29/2013 22:55	11.27	11.27	181.1
337	1/29/2013 22:55	10.69	10.69	165.7
338	1/29/2013 22:55	7.9	7.9	179.7
339	1/29/2013 22:55	6.2	6.2	153
340	1/29/2013 22:55	6.76	6.76	164.3
341	1/29/2013 22:56	7.9	7.9	161.5
342	1/29/2013 22:56	9.01	9.01	193.7
343	1/29/2013 22:56	7.9	7.9	169.9
344	1/29/2013 22:56	6.76	6.76	186.7
345	1/29/2013 22:56	7.31	7.31	150.2
346	1/29/2013 22:56	8.46	8.46	167.1
347	1/29/2013 22:56	9.01	9.01	171.3
348	1/29/2013 22:56	9.57	9.57	157.2
349	1/29/2013 22:56	12.95	12.95	153
350	1/29/2013 22:56	11.27	11.27	165.7
351	1/29/2013 22:56	10.69	10.69	186.7
352	1/29/2013 22:56	11.27	11.27	179.7
353	1/29/2013 22:56	11.83	11.83	178.3
354	1/29/2013 22:56	9.01	9.01	189.5
355	1/29/2013 22:56	9.57	9.57	200.8
356	1/29/2013 22:56	9.01	9.01	193.7
357	1/29/2013 22:56	7.9	7.9	172.7
358	1/29/2013 22:56	8.46	8.46	185.3
359	1/29/2013 22:56	9.57	9.57	176.9
360	1/29/2013 22:56	9.01	9.01	186.7
361	1/29/2013 22:57	9.01	9.01	167.1
362	1/29/2013 22:57	7.31	7.31	176.9
363	1/29/2013 22:57	10.69	10.69	172.7
364	1/29/2013 22:57	9.57	9.57	172.7
365	1/29/2013 22:57	6.76	6.76	174.1
366	1/29/2013 22:57	5.64	5.64	174.1
367	1/29/2013 22:57	4.5	4.5	186.7
368	1/29/2013 22:57	6.76	6.76	193.7
369	1/29/2013 22:57	7.31	7.31	220.4
370	1/29/2013 22:57	9.57	9.57	193.7
371	1/29/2013 22:57	11.27	11.27	202.2
372	1/29/2013 22:57	12.39	12.39	182.5
373	1/29/2013 22:57	10.13	10.13	165.7
374	1/29/2013 22:57	8.46	8.46	161.5
375	1/29/2013 22:57	9.57	9.57	188.1
376	1/29/2013 22:57	9.57	9.57	186.7
377	1/29/2013 22:57	6.2	6.2	153
378	1/29/2013 22:57	7.31	7.31	186.7
379	1/29/2013 22:57	9.01	9.01	172.7
380	1/29/2013 22:57	9.01	9.01	143.2
381	1/29/2013 22:58	5.64	5.64	176.9
382	1/29/2013 22:58	5.64	5.64	140.4
383	1/29/2013 22:58	3.94	3.94	200.8
384	1/29/2013 22:58	3.94	3.94	176.9
385	1/29/2013 22:58	4.5	4.5	178.3
386	1/29/2013 22:58	8.46	8.46	179.7
387	1/29/2013 22:58	8.46	8.46	172.7
388	1/29/2013 22:58	7.9	7.9	172.7
389	1/29/2013 22:58	11.27	11.27	153
390	1/29/2013 22:58	7.9	7.9	164.3
391	1/29/2013 22:58	11.27	11.27	164.3
392	1/29/2013 22:58	13.51	13.51	172.7
393	1/29/2013 22:58	11.27	11.27	192.3
394	1/29/2013 22:58	10.13	10.13	179.7
395	1/29/2013 22:58	9.57	9.57	182.5
396	1/29/2013 22:58	7.31	7.31	171.3
397	1/29/2013 22:58	7.9	7.9	165.7
398	1/29/2013 22:58	9.57	9.57	171.3
399	1/29/2013 22:58	12.39	12.39	178.3
400	1/29/2013 22:58	10.13	10.13	178.3
401	1/29/2013 22:59	10.69	10.69	169.9
402	1/29/2013 22:59	9.01	9.01	169.9
403	1/29/2013 22:59	7.31	7.31	171.3
404	1/29/2013 22:59	6.76	6.76	189.5
405	1/29/2013 22:59	12.39	12.39	186.7
406	1/29/2013 22:59	11.83	11.83	186.7
407	1/29/2013 22:59	9.01	9.01	164.3
408	1/29/2013 22:59	9.01	9.01	172.7
409	1/29/2013 22:59	9.57	9.57	178.3
410	1/29/2013 22:59	9.01	9.01	186.7
411	1/29/2013 22:59	6.76	6.76	182.5
412	1/29/2013 22:59	7.31	7.31	186.7
413	1/29/2013 22:59	7.31	7.31	202.2
414	1/29/2013 22:59	7.31	7.31	188.1
415	1/29/2013 22:59	7.9	7.9	212
416	1/29/2013 22:59	5.64	5.64	179.7
417	1/29/2013 22:59	10.69	10.69	171.3
418	1/29/2013 22:59	10.13	10.13	186.7
419	1/29/2013 22:59	6.76	6.76	171.3
420	1/29/2013 22:59	6.2	6.2	202.2
421	1/29/2013 23:00	6.76	6.76	165.7
422	1/29/2013 23:00	6.2	6.2	174.1
423	1/29/2013 23:00	6.76	6.76	172.7
424	1/29/2013 23:00	7.9	7.9	174.1
425	1/29/2013 23:00	6.76	6.76	164.3
426	1/29/2013 23:00	6.76	6.76	181.1
427	1/29/2013 23:00	9.01	9.01	193.7
428	1/29/2013 23:00	7.9	7.9	174.1
429	1/29/2013 23:00	7.31	7.31	172.7
430	1/29/2013 23:00	6.76	6.76	165.7
431	1/29/2013 23:00	7.31	7.31	153
432	1/29/2013 23:00	9.01	9.01	144.6
433	1/29/2013 23:00	9.57	9.57	162.9
434	1/29/2013 23:00	12.39	12.39	157.2
435	1/29/2013 23:00	9.01	9.01	223.2
436	1/29/2013 23:00	7.31	7.31	203.6
437	1/29/2013 23:00	9.57	9.57	157.2
438	1/29/2013 23:00	11.83	11.83	161.5
439	1/29/2013 23:00	9.57	9.57	162.9
440	1/29/2013 23:00	8.46	8.46	174.1
441	1/29/2013 23:01	8.46	8.46	202.2
442	1/29/2013 23:01	9.01	9.01	200.8
443	1/29/2013 23:01	9.01	9.01	189.5
444	1/29/2013 23:01	8.46	8.46	178.3
445	1/29/2013 23:01	10.13	10.13	171.3
446	1/29/2013 23:01	10.13	10.13	167.1
447	1/29/2013 23:01	7.9	7.9	171.3
448	1/29/2013 23:01	7.31	7.31	181.1
449	1/29/2013 23:01	7.9	7.9	181.1
450	1/29/2013 23:01	6.2	6.2	186.7
451	1/29/2013 23:01	5.64	5.64	182.5
452	1/29/2013 23:01	9.01	9.01	186.7
453	1/29/2013 23:01	7.31	7.31	167.1
454	1/29/2013 23:01	6.2	6.2	167.1
455	1/29/2013 23:01	7.31	7.31	186.7
456	1/29/2013 23:01	7.9	7.9	178.3
457	1/29/2013 23:01	12.95	12.95	176.9
458	1/29/2013 23:01	11.83	11.83	158.6
459	1/29/2013 23:01	11.83	11.83	193.7
460	1/29/2013 23:01	12.39	12.39	182.5
461	1/29/2013 23:02	11.27	11.27	185.3
462	1/29/2013 23:02	9.57	9.57	182.5
463	1/29/2013 23:02	10.13	10.13	158.6
464	1/29/2013 23:02	12.39	12.39	165.7
465	1/29/2013 23:02	9.57	9.57	153
466	1/29/2013 23:02	9.01	9.01	155.8
467	1/29/2013 23:02	9.57	9.57	171.3
468	1/29/2013 23:02	10.13	10.13	161.5
469	1/29/2013 23:02	13.51	13.51	178.3
470	1/29/2013 23:02	8.46	8.46	179.7
471	1/29/2013 23:02	7.9	7.9	172.7
472	1/29/2013 23:02	8.46	8.46	179.7
473	1/29/2013 23:02	7.9	7.9	188.1
474	1/29/2013 23:02	10.13	10.13	158.6
475	1/29/2013 23:02	11.83	11.83	172.7
476	1/29/2013 23:02	11.27	11.27	172.7
477	1/29/2013 23:02	9.01	9.01	192.3
478	1/29/2013 23:02	10.13	10.13	157.2
479	1/29/2013 23:02	7.9	7.9	167.1
480	1/29/2013 23:02	9.01	9.01	165.7
481	1/29/2013 23:03	10.69	10.69	189.5
482	1/29/2013 23:03	11.27	11.27	143.2
483	1/29/2013 23:03	10.69	10.69	196.5
484	1/29/2013 23:03	10.69	10.69	188.1
485	1/29/2013 23:03	7.9	7.9	182.5
486	1/29/2013 23:03	9.01	9.01	181.1
487	1/29/2013 23:03	7.31	7.31	195.1
488	1/29/2013 23:03	7.31	7.31	189.5
489	1/29/2013 23:03	8.46	8.46	162.9
490	1/29/2013 23:03	9.01	9.01	169.9
491	1/29/2013 23:03	6.76	6.76	188.1
492	1/29/2013 23:03	6.76	6.76	185.3
493	1/29/2013 23:03	7.9	7.9	172.7
494	1/29/2013 23:03	9.01	9.01	157.2
495	1/29/2013 23:03	9.57	9.57	172.7
496	1/29/2013 23:03	7.9	7.9	174.1
497	1/29/2013 23:03	10.13	10.13	164.3
498	1/29/2013 23:03	9.01	9.01	153
499	1/29/2013 23:03	5.64	5.64	165.7
500	1/29/2013 23:03	6.2	6.2	157.2
501	1/29/2013 23:04	7.9	7.9	134.8
502	1/29/2013 23:04	10.69	10.69	207.8
503	1/29/2013 23:04	10.13	10.13	172.7
504	1/29/2013 23:04	10.13	10.13	151.6
505	1/29/2013 23:04	9.57	9.57	171.3
506	1/29/2013 23:04	12.39	12.39	171.3
507	1/29/2013 23:04	10.13	10.13	157.2
508	1/29/2013 23:04	10.69	10.69	174.1
509	1/29/2013 23:04	8.46	8.46	171.3
510	1/29/2013 23:04	7.31	7.31	153
511	1/29/2013 23:04	9.57	9.57	186.7
512	1/29/2013 23:04	9.57	9.57	179.7
513	1/29/2013 23:04	6.2	6.2	193.7
514	1/29/2013 23:04	9.57	9.57	144.6
515	1/29/2013 23:04	11.27	11.27	165.7
516	1/29/2013 23:04	10.13	10.13	179.7
517	1/29/2013 23:04	10.69	10.69	181.1
518	1/29/2013 23:04	9.57	9.57	172.7
519	1/29/2013 23:04	11.83	11.83	178.3
520	1/29/2013 23:04	12.95	12.95	157.2
521	1/29/2013 23:05	12.39	12.39	171.3
522	1/29/2013 23:05	10.69	10.69	181.1
523	1/29/2013 23:05	12.95	12.95	172.7
524	1/29/2013 23:05	12.95	12.95	174.1
525	1/29/2013 23:05	10.13	10.13	171.3
526	1/29/2013 23:05	10.13	10.13	167.1
527	1/29/2013 23:05	9.01	9.01	172.7
528	1/29/2013 23:05	8.46	8.46	178.3
529	1/29/2013 23:05	10.13	10.13	185.3
530	1/29/2013 23:05	8.46	8.46	167.1
531	1/29/2013 23:05	7.31	7.31	179.7
532	1/29/2013 23:05	6.76	6.76	186.7
533	1/29/2013 23:05	6.2	6.2	195.1
534	1/29/2013 23:05	6.2	6.2	189.5
535	1/29/2013 23:05	10.13	10.13	185.3
536	1/29/2013 23:05	9.57	9.57	181.1
537	1/29/2013 23:05	12.39	12.39	202.2
538	1/29/2013 23:05	12.95	12.95	171.3
539	1/29/2013 23:05	13.51	13.51	186.7
540	1/29/2013 23:05	13.51	13.51	198
541	1/29/2013 23:06	11.83	11.83	172.7
542	1/29/2013 23:06	9.01	9.01	198
543	1/29/2013 23:06	8.46	8.46	186.7
544	1/29/2013 23:06	10.13	10.13	193.7
545	1/29/2013 23:06	11.27	11.27	179.7
546	1/29/2013 23:06	7.31	7.31	179.7
