,TIMESTAMP,Ux_20m,Uy_20m,Uz_20m,Ts_20m,Ux_10m,Uy_10m,Uz_10m,Ts_10m,Ux_6m,Uy_6m,Uz_6m,Ts_6m
259,2013-01-30 15:00:00,7.02,-12.76,-1.3,12.69,7.64,-8.68,-0.74,12.45,5.9,-9.01,0.61,15.68
260,2013-01-30 15:00:00,7.1,-12.79,-1.23,12.68,7.35,-9.21,-0.65,12.52,4.91,-7.98,0.8,15.76
261,2013-01-30 15:00:00,7.06,-12.7,-0.97,12.72,7.6,-9.66,-0.16,12.67,3.57,-7.4,0.21,15.82
262,2013-01-30 15:00:00,7.19,-12.56,-0.75,12.76,7.07,-9.3,0.08,12.64,3.77,-8.2,-0.78,15.47
263,2013-01-30 15:00:00,7.24,-12.39,-1.07,12.8,7.16,-9.84,0.12,12.8,6.24,-8.96,-0.57,15.18
264,2013-01-30 15:00:00,7.02,-12.33,-1.7,12.84,6.67,-11.0,-0.33,12.85,6.15,-8.77,-0.65,14.47
265,2013-01-30 15:00:00,7.41,-12.51,-2.02,13.14,5.47,-9.64,-1.09,12.8,6.79,-8.92,-0.89,14.63
266,2013-01-30 15:00:00,8.47,-12.23,-2.21,13.38,5.7,-10.36,-1.48,12.56,7.18,-8.63,-1.31,14.97
267,2013-01-30 15:00:00,8.59,-12.56,-2.98,13.11,5.61,-10.21,-1.92,12.47,7.39,-8.33,-1.26,14.89
268,2013-01-30 15:00:00,9.03,-10.01,-2.56,13.25,5.39,-10.6,-1.66,12.5,7.08,-8.84,-1.54,14.96
269,2013-01-30 15:00:00,8.89,-9.16,-2.25,13.29,5.34,-11.44,-1.1,12.69,6.62,-9.04,-2.08,14.96
270,2013-01-30 15:00:00,9.12,-9.54,-2.25,13.34,5.34,-11.0,-1.58,12.71,5.9,-9.16,-0.78,14.82
271,2013-01-30 15:00:00,9.21,-9.91,-1.17,13.35,5.96,-10.21,-2.83,12.66,7.78,-8.46,-0.81,14.77
272,2013-01-30 15:00:00,8.97,-9.75,-1.28,13.37,6.18,-10.48,-2.97,12.74,7.42,-7.6,-1.34,14.75
273,2013-01-30 15:00:00,9.19,-9.42,-1.35,13.42,5.91,-10.57,-2.04,12.94,7.3,-7.71,-0.12,14.75
274,2013-01-30 15:00:00,9.02,-8.46,0.0,13.32,6.09,-10.33,-1.13,13.01,7.41,-8.41,0.71,15.66
275,2013-01-30 15:00:00,8.53,-7.88,-0.05,13.38,5.31,-10.84,-0.08,12.98,6.75,-9.37,0.24,15.66
276,2013-01-30 15:00:00,8.54,-7.42,0.32,13.43,5.7,-10.35,0.64,13.0,6.09,-9.87,0.18,15.79
277,2013-01-30 15:00:00,8.52,-7.53,0.02,13.36,5.44,-10.86,0.85,13.0,7.92,-9.87,-0.11,14.99
278,2013-01-30 15:00:00,7.58,-8.47,-0.15,13.39,6.27,-10.69,-0.16,13.02,7.32,-9.76,0.47,15.91
279,2013-01-30 15:00:00,7.88,-7.97,0.67,13.44,4.97,-9.79,1.21,12.9,7.41,-9.08,-0.4,14.92
